W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,event
win,Leon Edwards  Kamaru Usman,0  0,120  87,0  4,0  0,Welterweight,M-DEC,5,5:00,UFC 286: Edwards vs. Usman 3
win,Justin Gaethje  Rafael Fiziev,0  0,103  97,1  0,0  0,Lightweight,M-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Gunnar Nelson  Bryan Barberena,0  0,10  7,1  0,1  0,Welterweight,SUB  Armbar,1,4:51,UFC 286: Edwards vs. Usman 3
win,Jennifer Maia  Casey O'Neill,0  0,145  137,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Marvin Vettori  Roman Dolidze,0  0,106  71,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Jack Shore  Makwan Amirkhani,0  0,28  10,1  1,1  0,Featherweight,SUB  Rear Naked Choke,2,4:27,UFC 286: Edwards vs. Usman 3
win,Chris Duncan  Omar Morales,0  0,53  47,5  0,0  0,Lightweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Yanal Ashmouz  Sam Patterson,0  0,15  2,1  0,0  0,Lightweight,KO/TKO  Punches,1,1:15,UFC 286: Edwards vs. Usman 3
win,Muhammad Mokaev  Jafel Filho,0  0,16  9,4  0,2  2,Flyweight,SUB  Neck Crank,3,4:32,UFC 286: Edwards vs. Usman 3
win,Lerone Murphy  Gabriel Santos,0  0,93  69,1  5,0  0,Featherweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Christian Duncan  Dusko Todorovic,0  0,9  4,0  0,0  0,Middleweight,KO/TKO,1,1:52,UFC 286: Edwards vs. Usman 3
win,Jake Hadley  Malcolm Gordon,1  0,10  3,0  0,0  0,Flyweight,KO/TKO  Punch,1,1:01,UFC 286: Edwards vs. Usman 3
win,Joanne Wood  Luana Carolina,0  0,131  100,2  0,0  0,Women's Flyweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
draw draw,Jai Herbert  Ludovit Klein,0  0,43  47,1  2,0  0,Lightweight,M-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Veronica Hardy  Juliana Miller,0  0,62  30,4  0,0  3,Women's Flyweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
win,Merab Dvalishvili  Petr Yan,0  0,147  75,11  1,0  0,Bantamweight,U-DEC,5,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Alexander Volkov  Alexandr Romanov,0  0,12  0,0  0,0  0,Heavyweight,KO/TKO  Punches,1,2:16,UFC Fight Night: Yan vs. Dvalishvili
win,Nikita Krylov  Ryan Spann,0  0,7  5,2  1,2  1,Catch Weight,SUB  Triangle Choke,1,3:38,UFC Fight Night: Yan vs. Dvalishvili
win,Jonathan Martinez  Said Nurmagomedov,0  0,38  47,0  3,1  2,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Mario Bautista  Guido Cannetti,0  0,3  2,3  1,1  0,Bantamweight,SUB  Rear Naked Choke,1,3:18,UFC Fight Night: Yan vs. Dvalishvili
win,Vitor Petrino  Anton Turkalj,0  0,39  33,7  5,1  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Karl Williams  Lukasz Brzeski,1  0,38  26,8  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Davey Grant  Raphael Assuncao,1  0,65  42,0  5,1  0,Bantamweight,SUB  Inverted Triangle,3,4:43,UFC Fight Night: Yan vs. Dvalishvili
win,Josh Fremd  Sedriques Dumas,0  0,33  20,2  0,2  0,Middleweight,SUB  Guillotine Choke,2,3:00,UFC Fight Night: Yan vs. Dvalishvili
win,Victor Henry  Tony Gravely,0  0,154  75,0  3,2  0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Ariane Lipski  JJ Aldrich,0  0,101  49,2  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Bruno Silva  Tyson Nam,1  0,23  12,0  0,1  0,Flyweight,SUB  Rear Naked Choke,2,1:23,UFC Fight Night: Yan vs. Dvalishvili
win,Carlston Harris  Jared Gooden,0  0,63  51,5  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili
win,Jon Jones  Ciryl Gane,0  0,5  6,2  0,1  0,Heavyweight,SUB  Guillotine Choke,1,2:04,UFC 285: Jones vs. Gane
win,Alexa Grasso  Valentina Shevchenko,0  0,59  87,0  4,1  0,Women's Flyweight,SUB  Rear Naked Choke,4,4:34,UFC 285: Jones vs. Gane
win,Shavkat Rakhmonov  Geoff Neal,0  0,113  69,0  0,1  0,Welterweight,SUB  Rear Naked Choke,3,4:17,UFC 285: Jones vs. Gane
win,Mateusz Gamrot  Jalin Turner,0  1,29  40,4  0,0  0,Lightweight,S-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Bo Nickal  Jamie Pickett,0  0,1  1,1  0,2  0,Middleweight,SUB  Arm Triangle,1,2:54,UFC 285: Jones vs. Gane
win,Cody Garbrandt  Trevin Jones,0  0,26  20,2  1,0  1,Bantamweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Dricus Du Plessis  Derek Brunson,1  0,71  37,1  1,1  1,Middleweight,KO/TKO  Punches,2,4:59,UFC 285: Jones vs. Gane
win,Amanda Ribas  Viviane Araujo,0  0,98  46,2  0,0  2,Women's Flyweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Marc-Andre Barriault  Julian Marquez,0  0,109  82,0  0,0  0,Middleweight,KO/TKO  Punches,2,4:12,UFC 285: Jones vs. Gane
win,Ian Garry  Song Kenan,1  1,127  55,0  2,0  0,Welterweight,KO/TKO  Punches,3,4:22,UFC 285: Jones vs. Gane
win,Cameron Saaiman  Mana Martinez,1  0,117  60,1  0,0  0,Bantamweight,M-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Tabatha Ricci  Jessica Penne,0  0,36  6,4  0,1  0,Women's Strawweight,SUB  Armbar,2,2:14,UFC 285: Jones vs. Gane
win,Farid Basharat  Da'Mon Blackshear,0  0,58  46,3  1,0  1,Bantamweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Loik Radzhabov  Esteban Ribovics,0  1,40  66,11  0,0  1,Lightweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane
win,Brendan Allen  Andre Muniz,0  0,42  43,1  0,2  0,Middleweight,SUB  Rear Naked Choke,3,4:25,UFC Fight Night: Muniz vs. Allen
win,Augusto Sakai  Don'Tale Mayes,0  0,53  29,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen
win,Tatiana Suarez  Montana De La Rosa,0  0,10  5,2  0,1  0,Women's Flyweight,SUB  Guillotine Choke,2,2:51,UFC Fight Night: Muniz vs. Allen
win,Mike Malott  Yohan Lainesse,0  0,9  1,1  0,1  0,Welterweight,SUB  Arm Triangle,1,4:15,UFC Fight Night: Muniz vs. Allen
win,Trevor Peek  Erick Gonzalez,2  0,51  7,0  4,0  0,Lightweight,KO/TKO  Punch,1,4:59,UFC Fight Night: Muniz vs. Allen
win,Jasmine Jasudavicius  Gabriella Fernandes,0  0,24  26,4  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen
win,Jordan Leavitt  Victor Martinez,1  0,17  7,0  0,0  0,Lightweight,KO/TKO  Knees,1,2:27,UFC Fight Night: Muniz vs. Allen
win,Ode Osbourne  Charles Johnson,0  0,48  60,3  1,0  0,Catch Weight,S-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen
win,Joe Solecki  Carl Deaton,0  0,2  1,2  0,3  0,Lightweight,SUB  Rear Naked Choke,2,4:55,UFC Fight Night: Muniz vs. Allen
win,Nurullo Aliev  Rafael Alves,0  0,19  6,3  0,0  2,Lightweight,M-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen
win,Erin Blanchfield  Jessica Andrade,0  0,51  53,1  0,1  0,Women's Flyweight,SUB  Rear Naked Choke,2,1:37,UFC Fight Night: Andrade vs. Blanchfield
win,Zac Pauga  Jordan Wright,0  0,59  29,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield
win,Jamal Pogues  Josh Parisian,0  0,33  37,5  1,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield
win,Marcin Prachnio  William Knight,0  0,79  8,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield
win,Alexander Hernandez  Jim Miller,0  0,108  67,0  0,0  1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield
win,Nazim Sadykhov  Evan Elder,0  1,64  70,1  1,0  0,Lightweight,KO/TKO,3,0:38,UFC Fight Night: Andrade vs. Blanchfield
win,Mayra Bueno Silva  Lina Lansberg,0  0,39  25,2  0,1  0,Women's Bantamweight,SUB  Kneebar,2,4:45,UFC Fight Night: Andrade vs. Blanchfield
win,Jamall Emmers  Khusein Askhabov,0  0,62  30,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield
win,Philipe Lins  Ovince Saint Preux,1  0,18  1,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,0:49,UFC Fight Night: Andrade vs. Blanchfield
win,AJ Fletcher  Themba Gorimbo,0  0,7  6,0  2,1  0,Welterweight,SUB  Guillotine Choke,2,1:37,UFC Fight Night: Andrade vs. Blanchfield
win,Clayton Carpenter  Juancamilo Ronderos,0  0,3  1,0  1,3  0,Flyweight,SUB  Rear Naked Choke,1,3:13,UFC Fight Night: Andrade vs. Blanchfield
win,Islam Makhachev  Alexander Volkanovski,0  1,57  70,4  0,0  0,Lightweight,U-DEC,5,5:00,UFC 284: Makhachev vs. Volkanovski
win,Yair Rodriguez  Josh Emmett,0  0,62  22,0  1,1  0,Featherweight,SUB  Triangle Choke,2,4:19,UFC 284: Makhachev vs. Volkanovski
win,Jack Della Maddalena  Randy Brown,1  0,14  11,0  0,1  0,Welterweight,SUB  Rear Naked Choke,1,2:13,UFC 284: Makhachev vs. Volkanovski
win,Justin Tafa  Parker Porter,1  0,8  7,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:06,UFC 284: Makhachev vs. Volkanovski
draw draw,Jimmy Crute  Alonzo Menifield,0  2,31  56,6  0,3  0,Light Heavyweight,M-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski
win,Modestas Bukauskas  Tyson Pedro,0  0,44  45,0  2,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski
win,Josh Culibao  Melsik Baghdasaryan,0  0,16  26,0  0,1  0,Featherweight,SUB  Rear Naked Choke,2,2:02,UFC 284: Makhachev vs. Volkanovski
win,Kleydson Rodrigues  Shannon Ross,1  0,14  1,0  0,0  0,Flyweight,KO/TKO  Punches,1,0:59,UFC 284: Makhachev vs. Volkanovski
win,Jamie Mullarkey  Francisco Prado,0  0,59  28,3  0,0  1,Lightweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski
win,Jack Jenkins  Don Shainis,0  0,82  50,4  1,0  2,Featherweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski
win,Loma Lookboonmee  Elise Reed,0  0,17  17,2  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,2,0:44,UFC 284: Makhachev vs. Volkanovski
win,Blake Bilder  Shane Young,0  0,111  80,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski
win,Elves Brener  Zubaira Tukhugov,0  0,69  70,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski
win,Serghei Spivac  Derrick Lewis,0  0,12  0,6  0,1  0,Heavyweight,SUB  Arm Triangle,1,3:05,UFC Fight Night: Lewis vs. Spivac
win,Devin Clark  Da Woon Jung,0  0,39  18,3  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac
win,Marcin Tybura  Blagoy Ivanov,0  0,40  34,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac
draw draw,Dooho Choi  Kyle Nelson,0  0,50  20,0  5,0  0,Featherweight,M-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac
win,Adam Fugitt  Yusaku Kinoshita,0  0,21  10,4  0,0  0,Welterweight,KO/TKO  Elbows,1,4:36,UFC Fight Night: Lewis vs. Spivac
win,Anshul Jubli  Jeka Saragih,0  0,38  14,2  0,1  0,Lightweight,KO/TKO  Elbows,2,3:44,UFC Fight Night: Lewis vs. Spivac
win,JeongYeong Lee  Yi Zha,0  0,25  24,0  5,0  0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac
win,Rinya Nakamura  Toshiomi Kazama,2  0,11  4,0  0,0  0,Bantamweight,KO/TKO  Punch,1,0:33,UFC Fight Night: Lewis vs. Spivac
win,HyunSung Park  SeungGuk Choi,0  1,38  20,1  0,3  0,Flyweight,SUB  Rear Naked Choke,3,3:11,UFC Fight Night: Lewis vs. Spivac
win,JunYong Park  Denis Tiuliulin,0  0,25  8,1  0,1  0,Middleweight,SUB  Rear Naked Choke,1,4:05,UFC Fight Night: Lewis vs. Spivac
win,Tatsuro Taira  Jesus Aguilar,0  0,1  2,1  0,2  1,Flyweight,SUB  Triangle Armbar,1,4:20,UFC Fight Night: Lewis vs. Spivac
win,Jamahal Hill  Glover Teixeira,0  0,232  75,0  2,0  0,Light Heavyweight,U-DEC,5,5:00,UFC 283: Teixeira vs. Hill
win,Brandon Moreno  Deiveson Figueiredo,0  0,48  19,3  1,0  2,Flyweight,KO/TKO,3,5:00,UFC 283: Teixeira vs. Hill
win,Gilbert Burns  Neil Magny,0  0,5  4,1  0,1  0,Welterweight,SUB  Arm Triangle,1,4:15,UFC 283: Teixeira vs. Hill
win,Jessica Andrade  Lauren Murphy,0  0,231  100,1  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill
win,Johnny Walker  Paul Craig,1  0,16  3,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,2:16,UFC 283: Teixeira vs. Hill
win,Ihor Potieria  Mauricio Rua,1  0,21  17,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,4:05,UFC 283: Teixeira vs. Hill
win,Brunno Ferreira  Gregory Rodrigues,1  0,22  21,0  0,0  0,Middleweight,KO/TKO  Punch,1,4:13,UFC 283: Teixeira vs. Hill
win,Thiago Moises  Melquizael Costa,0  0,22  23,4  0,1  0,Lightweight,SUB  Rear Naked Choke,2,4:05,UFC 283: Teixeira vs. Hill
win,Gabriel Bonfim  Mounir Lazzez,0  0,9  9,0  0,1  0,Welterweight,SUB  Guillotine Choke,1,0:49,UFC 283: Teixeira vs. Hill
win,Jailton Almeida  Shamil Abdurakhimov,0  0,45  1,3  0,0  0,Heavyweight,KO/TKO  Punches,2,2:56,UFC 283: Teixeira vs. Hill
win,Cody Stamann  Luan Lacerda,0  0,103  80,0  1,0  0,Bantamweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill
win,Ismael Bonfim  Terrance McKinney,1  0,34  14,1  0,0  0,Lightweight,KO/TKO  Flying Knee,2,2:17,UFC 283: Teixeira vs. Hill
win,Nicolas Dalby  Warlley Alves,0  0,119  66,0  1,0  0,Welterweight,S-DEC,3,5:00,UFC 283: Teixeira vs. Hill
win,Josiane Nunes  Zarah Fairn,0  0,102  117,0  0,0  0,Women's Featherweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill
win,Daniel Marcos  Saimon Oliveira,1  0,53  23,0  0,0  0,Bantamweight,KO/TKO  Knees,2,2:18,UFC 283: Teixeira vs. Hill
win,Sean Strickland  Nassourdine Imavov,0  0,182  123,1  0,0  0,Light Heavyweight,U-DEC,5,5:00,UFC Fight Night: Strickland vs. Imavov
win,Dan Ige  Damon Jackson,1  0,34  36,1  0,0  0,Featherweight,KO/TKO  Punch,2,4:13,UFC Fight Night: Strickland vs. Imavov
win,Roman Kopylov  Punahele Soriano,0  0,82  39,1  0,0  0,Middleweight,KO/TKO  Kick,2,3:19,UFC Fight Night: Strickland vs. Imavov
win,Raquel Pennington  Ketlen Vieira,0  0,81  64,0  0,0  0,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov
win,Umar Nurmagomedov  Raoni Barcelos,1  0,36  13,0  0,0  0,Bantamweight,KO/TKO  Punch,1,4:40,UFC Fight Night: Strickland vs. Imavov
win,Javid Basharat  Mateus Mendonca,0  0,95  29,3  2,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov
win,Abdul Razak Alhassan  Claudio Ribeiro,1  0,17  19,0  0,0  0,Middleweight,KO/TKO  Punches,2,0:28,UFC Fight Night: Strickland vs. Imavov
win,Mateusz Rebecki  Nick Fiore,0  0,89  34,3  1,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov
win,Allan Nascimento  Carlos Hernandez,0  0,6  3,2  0,1  0,Flyweight,SUB  Rear Naked Choke,1,3:16,UFC Fight Night: Strickland vs. Imavov
win,Dan Argueta  Nick Aguirre,0  0,47  14,4  0,2  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov
win,Charles Johnson  Jimmy Flick,0  0,34  7,0  1,0  0,Flyweight,KO/TKO  Punches,1,4:33,UFC Fight Night: Strickland vs. Imavov
win,Jared Cannonier  Sean Strickland,0  0,141  152,0  1,0  0,Middleweight,S-DEC,5,5:00,UFC Fight Night: Cannonier vs. Strickland
win,Arman Tsarukyan  Damir Ismagulov,0  0,34  36,7  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland
win,Amir Albazi  Alessandro Costa,2  0,37  17,1  0,0  0,Flyweight,KO/TKO  Punch,3,2:13,UFC Fight Night: Cannonier vs. Strickland
win,Alex Caceres  Julian Erosa,1  0,16  10,0  0,0  0,Featherweight,KO/TKO  Kick,1,3:04,UFC Fight Night: Cannonier vs. Strickland
win,Drew Dober  Bobby Green,1  0,34  73,0  0,0  0,Lightweight,KO/TKO  Punch,2,2:45,UFC Fight Night: Cannonier vs. Strickland
win,Michal Oleksiejczuk  Cody Brundage,0  0,15  0,0  3,0  0,Middleweight,KO/TKO  Punch,1,3:16,UFC Fight Night: Cannonier vs. Strickland
win,Cory McKenna  Cheyanne Vlismas,0  0,22  33,2  0,0  1,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland
win,Matthew Semelsberger  Jake Matthews,3  0,45  32,3  1,0  1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland
win,Said Nurmagomedov  Saidyokub Kakhramonov,0  0,7  11,0  5,3  1,Bantamweight,SUB  Guillotine Choke,2,3:50,UFC Fight Night: Cannonier vs. Strickland
win,Rafa Garcia  Maheshate,0  0,49  25,6  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland
win,Rinat Fakhretdinov  Bryan Battle,1  0,43  3,7  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland
win,Manel Kape  David Dvorak,1  0,58  33,0  2,2  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland
win,Sergey Morozov  Journey Newson,0  0,30  26,6  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland
draw draw,Jan Blachowicz  Magomed Ankalaev,0  0,55  78,0  2,0  0,Light Heavyweight,S-DEC,5,5:00,UFC 282: Blachowicz vs. Ankalaev
win,Paddy Pimblett  Jared Gordon,0  0,63  60,0  3,0  0,Lightweight,U-DEC,3,5:00,UFC 282: Blachowicz vs. Ankalaev
win,Santiago Ponzinibbio  Alex Morono,1  1,66  38,0  0,0  0,Catch Weight,KO/TKO  Punches,3,2:29,UFC 282: Blachowicz vs. Ankalaev
win,Dricus Du Plessis  Darren Till,0  0,86  35,6  1,3  0,Middleweight,SUB  Neck Crank,3,2:43,UFC 282: Blachowicz vs. Ankalaev
win,Ilia Topuria  Bryce Mitchell,1  0,40  36,0  1,1  0,Featherweight,SUB  Arm Triangle,2,3:10,UFC 282: Blachowicz vs. Ankalaev
win,Raul Rosas Jr.  Jay Perrin,0  0,3  4,2  0,2  0,Bantamweight,SUB  Neck Crank,1,2:44,UFC 282: Blachowicz vs. Ankalaev
win,Jairzinho Rozenstruik  Chris Daukaus,1  0,12  1,0  0,0  0,Heavyweight,KO/TKO  Punch,1,0:23,UFC 282: Blachowicz vs. Ankalaev
win,Edmen Shahbazyan  Dalcha Lungiambula,0  0,54  23,0  0,0  0,Middleweight,KO/TKO  Punches,2,4:41,UFC 282: Blachowicz vs. Ankalaev
win,Chris Curtis  Joaquin Buckley,1  0,36  50,0  0,0  0,Middleweight,KO/TKO  Punch,2,2:49,UFC 282: Blachowicz vs. Ankalaev
win,Billy Quarantillo  Alexander Hernandez,0  0,87  48,2  2,0  1,Featherweight,KO/TKO  Punches,2,4:30,UFC 282: Blachowicz vs. Ankalaev
win,TJ Brown  Erik Silva,0  0,24  21,2  3,1  0,Featherweight,SUB  Arm Triangle,3,3:41,UFC 282: Blachowicz vs. Ankalaev
win,Cameron Saaiman  Steven Koslow,0  0,53  11,0  5,0  1,Bantamweight,KO/TKO  Punches,3,4:13,UFC 282: Blachowicz vs. Ankalaev
win,Stephen Thompson  Kevin Holland,0  0,163  119,0  2,0  0,Welterweight,KO/TKO,4,5:00,UFC Fight Night: Thompson vs. Holland
win,Rafael Dos Anjos  Bryan Barberena,0  0,20  14,4  0,2  0,Welterweight,SUB  Rear Naked Choke,2,3:20,UFC Fight Night: Thompson vs. Holland
win,Matheus Nicolau  Matt Schnell,2  0,32  20,1  0,0  0,Flyweight,KO/TKO  Punch,2,1:44,UFC Fight Night: Thompson vs. Holland
win,Sergei Pavlovich  Tai Tuivasa,2  0,23  2,0  0,0  0,Heavyweight,KO/TKO  Punches,1,0:54,UFC Fight Night: Thompson vs. Holland
win,Roman Dolidze  Jack Hermansson,0  0,25  47,0  2,3  0,Middleweight,KO/TKO  Punches,2,4:06,UFC Fight Night: Thompson vs. Holland
win,Eryk Anders  Kyle Daukaus,1  0,49  37,1  0,0  0,Middleweight,KO/TKO  Punches,2,2:45,UFC Fight Night: Thompson vs. Holland
win,Phil Rowe  Niko Price,0  0,63  110,1  0,2  0,Welterweight,KO/TKO  Punches,3,3:26,UFC Fight Night: Thompson vs. Holland
win,Angela Hill  Emily Ducote,0  0,182  71,0  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland
win,Clay Guida  Scott Holtzman,0  0,66  65,4  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland
win,Michael Johnson  Marc Diakiese,0  0,83  55,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland
win,Jonathan Pearce  Darren Elkins,0  0,110  57,2  2,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland
win,Natan Levy  Genaro Valdez,0  0,67  49,6  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland
win,Francis Marshall  Marcelo Rojo,1  0,23  31,1  0,0  0,Featherweight,KO/TKO  Punch,2,1:14,UFC Fight Night: Thompson vs. Holland
win,Yazmin Jauregui  Istela Nunes,2  1,67  36,0  0,0  0,Women's Strawweight,KO/TKO  Punches,2,4:06,UFC Fight Night: Thompson vs. Holland
win,Kennedy Nzechukwu  Ion Cutelaba,1  0,24  9,0  2,0  0,Light Heavyweight,KO/TKO  Knee,2,1:02,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Waldo Cortes-Acosta  Chase Sherman,0  0,147  66,0  1,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Muslim Salikhov  Andre Fialho,0  0,56  17,1  0,0  0,Welterweight,KO/TKO  Kick,3,1:03,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Jack Della Maddalena  Danny Roberts,2  0,33  5,0  0,0  0,Welterweight,KO/TKO  Punches,1,3:24,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Charles Johnson  Zhalgas Zhumagulov,0  0,115  119,0  1,0  0,Flyweight,S-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Jennifer Maia  Maryna Moroz,0  0,109  80,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Miles Johns  Vince Morales,0  0,38  39,1  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Ricky Turcios  Kevin Natividad,0  1,68  41,2  7,1  0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Vanessa Demopoulos  Maria Oliveira,1  0,55  83,2  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Brady Hiestand  Fernie Garcia,0  0,19  21,3  1,1  1,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Natalia Silva  Tereza Bleda,1  0,45  18,0  1,0  2,Women's Flyweight,KO/TKO  Spinning Back Kick,3,1:27,UFC Fight Night: Nzechukwu vs. Cutelaba
win,Alex Pereira  Israel Adesanya,0  0,91  86,1  1,0  0,Middleweight,KO/TKO  Punches,5,2:01,UFC 281: Adesanya vs. Pereira
win,Zhang Weili  Carla Esparza,0  0,37  6,0  1,1  0,Women's Strawweight,SUB  Rear Naked Choke,2,1:05,UFC 281: Adesanya vs. Pereira
win,Dustin Poirier  Michael Chandler,0  0,38  43,0  3,2  0,Lightweight,SUB  Rear Naked Choke,3,2:00,UFC 281: Adesanya vs. Pereira
win,Chris Gutierrez  Frankie Edgar,1  0,10  2,0  0,0  0,Bantamweight,KO/TKO  Knee,1,2:01,UFC 281: Adesanya vs. Pereira
win,Dan Hooker  Claudio Puelles,1  0,29  5,0  0,1  1,Lightweight,KO/TKO  Kick,2,4:06,UFC 281: Adesanya vs. Pereira
win,Renato Moicano  Brad Riddell,0  0,10  14,0  0,1  0,Lightweight,SUB  Rear Naked Choke,1,3:20,UFC 281: Adesanya vs. Pereira
win,Ryan Spann  Dominick Reyes,1  0,8  5,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,1:20,UFC 281: Adesanya vs. Pereira
win,Erin Blanchfield  Molly McCann,0  0,25  7,1  0,2  0,Women's Flyweight,SUB  Kimura,1,3:37,UFC 281: Adesanya vs. Pereira
win,Andre Petroski  Wellington Turman,0  0,42  41,8  1,2  1,Middleweight,U-DEC,3,5:00,UFC 281: Adesanya vs. Pereira
win,Matt Frevola  Ottman Azaitar,1  0,11  10,0  0,0  0,Lightweight,KO/TKO  Punch,1,2:30,UFC 281: Adesanya vs. Pereira
win,Karolina Kowalkiewicz  Silvana Gomez Juarez,0  0,74  77,2  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 281: Adesanya vs. Pereira
win,Michael Trizano  SeungWoo Choi,2  1,32  26,0  0,0  0,Featherweight,KO/TKO  Punch,1,4:51,UFC 281: Adesanya vs. Pereira
win,Montel Jackson  Julio Arce,1  0,48  26,0  1,0  0,Bantamweight,U-DEC,3,5:00,UFC 281: Adesanya vs. Pereira
