,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,weight_class
438,Shavkat,Rakhmonov,Nomad,73,170.0,77,Orthodox,17.0,0.0,0.0,middleweight
439,Aleksandar,Rakic,,76,205.0,78,Orthodox,14.0,3.0,0.0,heavyweight
440,Jessica,Rakoczy,The Ragin',67,115.0,71,Orthodox,1.0,5.0,0.0,flyweight
441,Thomas,Ramirez,,73,410.0,71,Sideways,0.0,1.0,0.0,super heavyweight
442,Hector,Ramirez,Sick Dog,72,205.0,71,Orthodox,10.0,6.0,1.0,heavyweight
443,Matt,Ramirez,The Machine,65,125.0,71,Unknown,2.0,3.0,0.0,bantamweight
444,Steve,Ramirez,,67,125.0,71,Unknown,5.0,2.0,0.0,bantamweight
445,Amador,Ramirez,,70,135.0,71,Unknown,5.0,4.0,0.0,featherweight
446,Andrew,Ramm,The,73,160.0,71,Unknown,4.0,4.0,0.0,welterweight
447,Ian,Rammel,,72,185.0,71,Unknown,7.0,8.0,0.0,light heavyweight
448,Luis,Ramos,Beicao,68,170.0,71,Orthodox,20.0,10.0,2.0,middleweight
449,Ricardo,Ramos,,69,145.0,72,Orthodox,16.0,4.0,0.0,lightweight
450,Davi,Ramos,Tasmanian Devil,66,155.0,70,Orthodox,10.0,4.0,0.0,welterweight
451,Vernon,Ramos Ho,,66,170.0,71,Orthodox,3.0,1.0,0.0,middleweight
452,Kevin,Randleman,The Monster,70,205.0,71,Orthodox,17.0,16.0,0.0,heavyweight
453,Raou,Raou,,68,195.0,71,Orthodox,0.0,1.0,0.0,light heavyweight
454,Mitch,Raposo,,65,125.0,64,Switch,5.0,1.0,0.0,bantamweight
455,Hussain,Rasouli,,66,135.0,71,Unknown,2.0,3.0,0.0,featherweight
457,Yusup,Saadulaev,Maestro,66,135.0,71,Unknown,16.0,4.0,1.0,featherweight
458,Cameron,Saaiman,MSP,68,135.0,67,Southpaw,8.0,0.0,0.0,featherweight
459,Pete,Sabala,,70,135.0,71,Unknown,3.0,15.0,0.0,featherweight
460,Danny,Sabatello,Italian Gangster,70,135.0,71,Orthodox,9.0,1.0,0.0,featherweight
461,Pat,Sabatini,,68,145.0,70,Orthodox,17.0,4.0,0.0,lightweight
462,Amir,Sadollah,,70,170.0,75,Orthodox,6.0,5.0,0.0,middleweight
463,Nazim,Sadykhov,Black Wolf,70,155.0,69,Southpaw,8.0,1.0,0.0,welterweight
464,Frankie,Saenz,,66,135.0,66,Orthodox,13.0,7.0,0.0,featherweight
465,Saparbeg,Safarov,,73,185.0,78,Orthodox,9.0,3.0,0.0,light heavyweight
466,Tarec,Saffiedine,Sponge,70,170.0,70,Switch,16.0,7.0,0.0,middleweight
467,Jason,Saggo,,71,155.0,71,Orthodox,12.0,4.0,0.0,welterweight
468,Benoit,Saint Denis,God of War,71,155.0,73,Southpaw,10.0,1.0,0.0,welterweight
469,Ovince,Saint Preux,,75,205.0,80,Southpaw,26.0,17.0,0.0,heavyweight
470,Lukasz,Sajewski,Wookie,68,155.0,71,Orthodox,13.0,3.0,0.0,welterweight
471,Yukio,Sakaguchi,,69,185.0,71,Orthodox,6.0,7.0,0.0,light heavyweight
472,Augusto,Sakai,,75,265.0,77,Orthodox,16.0,5.0,1.0,super heavyweight
473,Alessio,Sakara,Legionarius,72,185.0,72,Orthodox,19.0,11.0,0.0,light heavyweight
474,Wataru,Sakata,,69,195.0,71,Southpaw,11.0,14.0,0.0,light heavyweight
475,Gokhan,Saki,The Rebel,72,205.0,73,Orthodox,1.0,2.0,0.0,heavyweight
476,Kazushi,Sakuraba,The Gracie Hunter,72,185.0,71,Southpaw,26.0,17.0,1.0,light heavyweight
477,Hayato,Sakurai,Mach,67,168.0,71,Orthodox,38.0,13.0,2.0,welterweight
478,Ryuta,Sakurai,,67,183.0,71,Orthodox,24.0,24.0,6.0,middleweight
479,Justin,Salas,J-Bomb,68,155.0,70,Southpaw,12.0,7.0,0.0,welterweight
480,Ivan,Salaverry,,72,185.0,71,Orthodox,14.0,9.0,0.0,light heavyweight
481,Roman,Salazar,El Gallito,67,135.0,71,Orthodox,10.0,6.0,0.0,featherweight
483,Osamu,Tachihikari,,77,300.0,71,Orthodox,0.0,4.0,0.0,super heavyweight
484,Amber,Tackett,,70,115.0,71,Unknown,1.0,3.0,0.0,flyweight
485,Eugenio,Tadeu,,68,160.0,71,Orthodox,2.0,3.0,0.0,welterweight
486,Justin,Tafa,Bad Man,72,264.0,74,Southpaw,6.0,3.0,0.0,heavyweight
488,Khalid,Taha,The Warrior,65,135.0,69,Orthodox,13.0,5.0,0.0,featherweight
489,Joe,Taimanglo,The Juggernaut,64,135.0,71,Unknown,23.0,7.0,1.0,featherweight
490,Tatsuro,Taira,,67,125.0,70,Orthodox,13.0,0.0,0.0,bantamweight
491,Mairbek,Taisumov,Beckan,69,155.0,73,Orthodox,27.0,6.0,0.0,welterweight
492,Nobuhiko,Takada,,72,220.0,71,Southpaw,2.0,6.0,2.0,heavyweight
493,Yoshiki,Takahashi,Kazuo,71,199.0,71,Southpaw,30.0,27.0,3.0,light heavyweight
494,Yoko,Takahashi,,68,150.0,71,Unknown,15.0,12.0,2.0,lightweight
495,Daiju,Takase,,72,170.0,71,Southpaw,12.0,15.0,2.0,middleweight
496,Hiroyuki,Takaya,Streetfight Bancho,66,139.0,71,Orthodox,21.0,14.0,2.0,featherweight
497,Yoshihiro,Takayama,,77,280.0,71,Orthodox,1.0,4.0,0.0,super heavyweight
498,Makoto,Takimoto,,67,205.0,71,Southpaw,6.0,5.0,0.0,heavyweight
499,Oleg,Taktarov,The Russian Bear,72,210.0,71,Orthodox,17.0,5.0,2.0,heavyweight
500,Nordine,Taleb,,73,170.0,74,Orthodox,15.0,7.0,0.0,middleweight
501,Tsuyoshi,Tamakairiki,,72,220.0,71,Orthodox,0.0,3.0,0.0,heavyweight
502,Eli,Tamez,Tomahawk,67,135.0,71,Unknown,10.0,0.0,0.0,featherweight
503,Kiyoshi,Tamura,,71,185.0,71,Southpaw,32.0,13.0,3.0,light heavyweight
504,Akitoshi,Tamura,The Ironman,69,135.0,70,Orthodox,21.0,18.0,2.0,featherweight
505,Issei,Tamura,,65,135.0,63,Orthodox,10.0,8.0,0.0,featherweight
506,Jason,Tan,,70,170.0,71,Orthodox,5.0,3.0,0.0,middleweight
509,Takeru,Uchida,,65,125.0,68,Southpaw,6.0,1.0,0.0,bantamweight
510,Alberto,Uda,,75,185.0,71,Orthodox,12.0,2.0,0.0,light heavyweight
511,Ryuki,Ueyama,,71,180.0,71,Southpaw,12.0,18.0,5.0,middleweight
512,Christian,Uflacker,,71,170.0,71,Unknown,5.0,0.0,0.0,middleweight
513,Andy,Uhrich,,72,170.0,71,Unknown,11.0,6.0,0.0,middleweight
514,Tagir,Ulanbekov,,67,125.0,70,Southpaw,14.0,2.0,0.0,bantamweight
515,Carlos,Ulberg,Black Jag,76,205.0,77,Orthodox,8.0,1.0,0.0,heavyweight
516,Gasan,Umalatov,Cobra,71,170.0,71,Orthodox,17.0,4.0,2.0,middleweight
517,Jeremy,Umphries,,70,160.0,71,Unknown,5.0,2.0,0.0,welterweight
518,Zach,Underwood,,74,185.0,71,Unknown,13.0,7.0,0.0,light heavyweight
519,Caol,Uno,Uno Shoten,67,155.0,70,Southpaw,33.0,19.0,5.0,welterweight
520,Kengo,Ura,Uraken,69,165.0,71,Unknown,14.0,12.0,2.0,welterweight
521,Logan,Urban,Hulk,72,170.0,72,Orthodox,5.0,1.0,0.0,middleweight
522,Hector,Urbina,El Toro,71,170.0,73,Orthodox,17.0,10.0,1.0,middleweight
523,Elias,Urbina,,75,185.0,77,Southpaw,3.0,1.0,0.0,light heavyweight
