,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,weight_class
31,Izabela,Badurek,,65,115.0,71,Orthodox,6.0,3.0,0.0,flyweight
32,Miguel,Baeza,Caramel Thunder,74,170.0,74,Orthodox,10.0,3.0,0.0,middleweight
33,Ali,Bagautinov,Puncher,64,125.0,65,Orthodox,15.0,6.0,0.0,bantamweight
34,Mehdi,Baghdad,The Sultan,73,155.0,71,Orthodox,11.0,5.0,0.0,welterweight
35,Melsik,Baghdasaryan,The Gun,69,145.0,70,Southpaw,7.0,2.0,0.0,lightweight
36,Siyar,Bahadurzada,The Great,71,170.0,73,Orthodox,24.0,8.0,1.0,middleweight
37,Ignacio,Bahamondes,La Jaula,75,155.0,75,Orthodox,13.0,4.0,0.0,welterweight
38,Shamar,Bailey,,69,155.0,75,Southpaw,16.0,11.0,0.0,welterweight
39,Jordan,Bailey,,69,145.0,71,Unknown,6.0,3.0,0.0,lightweight
40,Scott,Baker,,72,210.0,71,Unknown,1.0,1.0,0.0,heavyweight
41,Bryan,Baker,The Beast,75,185.0,71,Orthodox,18.0,5.0,0.0,light heavyweight
42,Jin,Bala,,69,155.0,71,Unknown,23.0,3.0,0.0,welterweight
44,Oluwale,Bamgbose,Holy War Angel,71,185.0,78,Switch,6.0,4.0,0.0,light heavyweight
45,Stephen,Banaszak,,72,145.0,71,Unknown,5.0,5.0,0.0,lightweight
46,Marcin,Bandel,Bomba,70,155.0,71,Orthodox,15.0,7.0,0.0,welterweight
47,Humberto,Bandenay,,71,145.0,71,Southpaw,14.0,7.0,0.0,lightweight
48,Tae Hyun,Bang,Supernatural,69,155.0,71,Switch,18.0,10.0,0.0,welterweight
50,Antonio,Banuelos,,65,135.0,63,Orthodox,20.0,11.0,1.0,featherweight
51,Renan,Barao,The Baron,66,145.0,70,Orthodox,34.0,9.0,0.0,lightweight
53,Yan,Cabral,,71,155.0,73,Orthodox,13.0,3.0,0.0,welterweight
54,Alvin,Cacdac,,66,125.0,71,Orthodox,18.0,13.0,0.0,bantamweight
55,Alex,Caceres,Bruce Leeroy,70,145.0,73,Southpaw,20.0,13.0,0.0,lightweight
56,Vince,Cachero,The Anomaly,66,145.0,68,Orthodox,7.0,4.0,0.0,lightweight
57,Priscila,Cachoeira,Zombie Girl,67,125.0,65,Orthodox,12.0,4.0,0.0,bantamweight
58,Travis,Calanoc,The Dark Knight,68,145.0,71,Orthodox,5.0,1.0,0.0,lightweight
59,Ricky,Calatayud,,69,125.0,71,Unknown,16.0,2.0,0.0,bantamweight
60,Darrion,Caldwell,The Wolf,70,135.0,71,Unknown,10.0,1.0,0.0,featherweight
61,Taylor,Callens,,70,155.0,71,Unknown,6.0,0.0,0.0,welterweight
62,Cynthia,Calvillo,,64,125.0,64,Orthodox,9.0,5.0,1.0,bantamweight
63,Joe,Camacho,,69,155.0,71,Orthodox,13.0,19.0,3.0,welterweight
64,Frank,Camacho,The Crank,70,155.0,73,Orthodox,22.0,10.0,0.0,welterweight
65,Fabricio,Camoes,Morango,70,155.0,71,Orthodox,14.0,9.0,1.0,welterweight
66,Chris,Camozzi,,74,185.0,75,Orthodox,24.0,13.0,0.0,light heavyweight
67,Brian,Camozzi,Mantis,74,170.0,78,Orthodox,7.0,5.0,0.0,middleweight
68,Ricky,Camp,2 Slick,67,135.0,71,Unknown,11.0,4.0,0.0,featherweight
69,Mike,Campbell,The Beast,69,155.0,71,Southpaw,13.0,4.0,0.0,welterweight
71,Shane,Campbell,Shaolin,72,155.0,71,Orthodox,14.0,6.0,0.0,welterweight
72,Charlie,Campbell,The Cannibal,72,155.0,71,Orthodox,6.0,2.0,0.0,welterweight
73,John,Campetella,,69,235.0,71,Orthodox,0.0,1.0,0.0,heavyweight
74,Wagner,Campos,Galeto,66,145.0,71,Southpaw,12.0,10.0,0.0,lightweight
75,Derek,Campos,The Stallion,69,155.0,71,Unknown,19.0,6.0,0.0,welterweight
76,Will,Campuzano,,69,125.0,70,Orthodox,14.0,6.0,0.0,bantamweight
77,Aleksa,Camur,,73,205.0,74,Orthodox,6.0,2.0,0.0,heavyweight
79,Sarah,D'alelio,The Monster,67,145.0,71,Unknown,11.0,7.0,0.0,lightweight
80,Marcos,da Matta,Parrumpinha,64,145.0,71,Unknown,11.0,3.0,0.0,lightweight
81,Henrique,da Silva,Frankenstein,75,205.0,76,Orthodox,14.0,5.0,0.0,heavyweight
82,Alex,Da Silva,Leko,68,155.0,73,Orthodox,21.0,4.0,0.0,welterweight
83,Henrique,Da Silva Lopes,Montanha,75,240.0,71,Unknown,5.0,2.0,0.0,heavyweight
84,Nicolas,Dalby,Danish Dynamite,71,170.0,74,Orthodox,21.0,4.0,1.0,middleweight
85,Paul,Daley,Semtex,69,170.0,76,Orthodox,39.0,15.0,2.0,middleweight
86,Dave,Dalgliesh,,74,205.0,71,Orthodox,30.0,19.0,2.0,heavyweight
87,Richard,Dalton,,73,205.0,71,Orthodox,4.0,3.0,1.0,heavyweight
88,Aisling,Daly,Ais the Bash,62,115.0,64,Orthodox,16.0,6.0,0.0,flyweight
89,Marko,Damiani,,72,170.0,71,Unknown,0.0,2.0,0.0,middleweight
90,Leonardo,Damiani,Puppy,70,170.0,69,Orthodox,10.0,3.0,1.0,middleweight
91,Rodrigo,Damm,,67,155.0,71,Orthodox,13.0,9.0,0.0,welterweight
92,Carina,Damm,Beauty But the Beast,64,135.0,71,Unknown,2.0,13.0,0.0,featherweight
93,Batgerel,Danaa,Storm,67,135.0,70,Orthodox,12.0,4.0,0.0,featherweight
94,Cindy,Dandois,Battlecat,67,135.0,71,Orthodox,8.0,3.0,0.0,featherweight
95,Jarjis,Danho,Man Mountain,75,265.0,74,Orthodox,7.0,1.0,1.0,super heavyweight
96,Raymond,Daniels,,74,185.0,71,Southpaw,0.0,1.0,0.0,light heavyweight
97,Marques,Daniels,,70,155.0,71,Unknown,5.0,5.0,0.0,welterweight
98,Alexandre,Dantas,Cafe,74,238.0,71,Orthodox,0.0,3.0,0.0,heavyweight
99,Eduardo,Dantas,Dudu,70,135.0,71,Unknown,20.0,4.0,0.0,featherweight
100,Mac,Danzig,,68,155.0,70,Orthodox,21.0,12.0,1.0,welterweight
101,Karen,Darabedyan,,67,155.0,68,Orthodox,13.0,6.0,0.0,welterweight
102,Beneil,Dariush,,70,155.0,72,Southpaw,22.0,4.0,1.0,welterweight
103,Sean,Daugherty,,72,175.0,71,Unknown,0.0,2.0,0.0,middleweight
105,Ben,Earwood,,68,170.0,71,Orthodox,12.0,3.0,0.0,middleweight
106,Cody,East,The Freight Train,75,245.0,71,Orthodox,12.0,3.0,0.0,heavyweight
107,Marvin,Eastman,The Beastman,69,185.0,73,Orthodox,18.0,15.0,1.0,light heavyweight
108,Mike,Easton,The Hulk,66,135.0,70,Southpaw,13.0,6.0,0.0,featherweight
109,Maurice,Eazel,,67,135.0,71,Unknown,7.0,15.0,0.0,featherweight
110,Vincent,Eazelle,The Real Deal,71,155.0,71,Unknown,9.0,2.0,0.0,welterweight
111,Ross,Ebanez,The Boss,69,154.0,71,Southpaw,20.0,10.0,0.0,lightweight
112,Brian,Ebersole,Bad Boy,72,170.0,73,Southpaw,51.0,18.0,1.0,middleweight
113,Roybert,Echeverria,The Unbroken,65,125.0,67,Switch,7.0,1.0,0.0,bantamweight
114,Mark,Eddiva,,68,145.0,68,Orthodox,6.0,3.0,0.0,lightweight
115,Frankie,Edgar,The Answer,66,135.0,68,Orthodox,23.0,11.0,1.0,featherweight
116,Abdul-Kerim,Edilov,,74,205.0,71,Orthodox,17.0,4.0,0.0,heavyweight
117,Johnny,Eduardo,,67,135.0,71,Orthodox,28.0,13.0,0.0,featherweight
118,Yves,Edwards,,69,155.0,73,Southpaw,42.0,22.0,1.0,welterweight
119,Justin,Edwards,Fast Eddy,70,155.0,70,Orthodox,9.0,5.0,0.0,welterweight
120,Leon,Edwards,Rocky,74,170.0,74,Southpaw,21.0,3.0,0.0,middleweight
121,Te,Edwards,,68,155.0,72,Orthodox,6.0,3.0,0.0,welterweight
122,Adli,Edwards,,70,145.0,71,Unknown,4.0,1.0,0.0,lightweight
123,Joselyne,Edwards,La Pantera,68,135.0,70,Orthodox,12.0,4.0,0.0,featherweight
124,Tom,Egan,,71,170.0,71,Orthodox,7.0,5.0,0.0,middleweight
125,Stephanie,Egger,,66,135.0,68,Orthodox,8.0,3.0,0.0,featherweight
126,Justin,Eilers,The Hammer,73,235.0,71,Orthodox,19.0,7.0,1.0,heavyweight
127,Jon Olav,Einemo,The Viking,78,253.0,71,Orthodox,6.0,3.0,0.0,heavyweight
128,Per,Eklund,,70,155.0,72,Orthodox,14.0,5.0,1.0,welterweight
131,Edward,Faaloloto,,70,155.0,70,Unknown,2.0,5.0,0.0,welterweight
132,Urijah,Faber,The California Kid,66,135.0,67,Orthodox,35.0,11.0,0.0,featherweight
133,Melinda,Fabian,,66,125.0,66,Unknown,4.0,4.0,2.0,bantamweight
134,Wagnney,Fabiano,The Silencer,66,145.0,69,Southpaw,16.0,4.0,0.0,lightweight
135,Bartosz,Fabinski,The Butcher,72,170.0,75,Orthodox,15.0,5.0,0.0,middleweight
136,Ron,Faircloth,,69,205.0,71,Orthodox,33.0,20.0,0.0,heavyweight
137,Jason,Fairn,,73,230.0,71,Unknown,4.0,5.0,0.0,heavyweight
138,Zarah,Fairn,Infinite,68,145.0,72,Orthodox,6.0,5.0,0.0,lightweight
139,Rinat,Fakhretdinov,Gladiator,72,170.0,74,Orthodox,20.0,1.0,0.0,middleweight
140,Maiquel,Falcao,Big Rig,71,185.0,71,Orthodox,37.0,10.0,0.0,light heavyweight
141,Pedro,Falcao,Pedrinho,66,135.0,66,Orthodox,15.0,3.0,0.0,featherweight
142,Brodie,Farber,,73,170.0,71,Orthodox,16.0,7.0,0.0,middleweight
143,Joao Paulo,Faria,,69,155.0,71,Unknown,1.0,1.0,0.0,welterweight
144,Kalindra,Faria,,67,125.0,71,Switch,18.0,8.0,1.0,bantamweight
145,Chance,Farrar,,69,145.0,71,Southpaw,8.0,3.0,0.0,lightweight
146,Rico,Farrington,The Triggerman,76,170.0,79,Southpaw,7.0,3.0,0.0,middleweight
147,Kelly,Faszholz,,68,135.0,71,Orthodox,4.0,2.0,0.0,featherweight
148,Rodney,Faverus,,72,215.0,71,Southpaw,25.0,20.0,3.0,heavyweight
149,Paul,Felder,The Irish Dragon,71,155.0,70,Orthodox,17.0,6.0,0.0,welterweight
150,Carlos,Felipe,Boi,72,245.0,75,Orthodox,11.0,2.0,0.0,heavyweight
151,JP,Felty,,70,170.0,71,Unknown,4.0,5.0,0.0,middleweight
152,Kevin,Ferguson,Kimbo Slice,74,235.0,77,Orthodox,5.0,2.0,0.0,heavyweight
153,Rhadi,Ferguson,,67,205.0,71,Unknown,3.0,0.0,0.0,heavyweight
154,Tony,Ferguson,El Cucuy,71,155.0,76,Orthodox,26.0,8.0,0.0,welterweight
155,Josh,Ferguson,Taz,65,125.0,71,Orthodox,10.0,5.0,0.0,bantamweight
157,James,Gabert,,70,178.0,71,Unknown,6.0,4.0,0.0,middleweight
158,Gustavo,Gabriel,,66,125.0,71,Orthodox,13.0,1.0,0.0,bantamweight
159,Claudia,Gadelha,Claudinha,64,115.0,63,Orthodox,18.0,5.0,0.0,flyweight
160,Alavutdin,Gadjiev,,74,185.0,71,Orthodox,18.0,13.0,1.0,light heavyweight
161,Justin,Gaethje,The Highlight,71,155.0,70,Orthodox,24.0,4.0,0.0,welterweight
162,Sheila,Gaff,The German Tank,65,135.0,71,Orthodox,9.0,7.0,0.0,featherweight
163,Muin,Gafurov,Tajik,67,135.0,68,Southpaw,17.0,4.0,0.0,featherweight
164,Mitch,Gagnon,,65,135.0,65,Southpaw,12.0,5.0,0.0,featherweight
165,Brandon,Gaines,,75,185.0,71,Unknown,5.0,21.0,0.0,light heavyweight
166,Travis,Galbraith,The Gladiator,72,170.0,71,Orthodox,18.0,7.0,0.0,middleweight
167,Dave,Galera,Scarecrow,71,135.0,71,Orthodox,5.0,1.0,0.0,featherweight
168,Zelg,Galesic,Benkei,74,185.0,71,Orthodox,11.0,9.0,0.0,light heavyweight
169,Mickey,Gall,,74,170.0,74,Switch,7.0,5.0,0.0,middleweight
170,Daniel,Gallemore,Big Kansas,77,265.0,71,Unknown,7.0,3.0,0.0,super heavyweight
171,Tom,Gallicchio,Da Tank,70,170.0,71,Southpaw,19.0,10.0,0.0,middleweight
172,Turrell,Galloway,,63,145.0,71,Unknown,8.0,6.0,0.0,lightweight
173,Eric,Galvan,,70,155.0,71,Unknown,0.0,0.0,0.0,welterweight
174,Andre,Galvao,,67,168.0,71,Orthodox,5.0,2.0,0.0,welterweight
175,Marcos,Galvao,Loro,67,135.0,71,Orthodox,18.0,8.0,1.0,featherweight
176,Lucas,Gamaza,,70,170.0,71,Unknown,8.0,4.0,0.0,middleweight
177,Joey,Gambino,The Raging Warrior,67,145.0,71,Orthodox,9.0,2.0,0.0,lightweight
178,Manvel,Gamburyan,The Anvil,65,135.0,67,Orthodox,15.0,10.0,0.0,featherweight
179,Mateusz,Gamrot,Gamer,70,155.0,70,Southpaw,22.0,2.0,0.0,welterweight
180,Shamil,Gamzatov,,74,205.0,76,Orthodox,14.0,1.0,0.0,heavyweight
181,Ariel,Gandulla,,71,205.0,71,Orthodox,7.0,9.0,0.0,heavyweight
183,Chelsea,Hackett,Hammer,64,125.0,66,Switch,3.0,1.0,1.0,bantamweight
184,Keith,Hackney,The Giant Killer,71,200.0,71,Sideways,2.0,2.0,0.0,light heavyweight
185,Jake,Hadley,White Kong,67,125.0,70,Southpaw,10.0,1.0,0.0,bantamweight
186,Steve,Hadsel,,68,170.0,71,Unknown,3.0,0.0,0.0,middleweight
187,Damir,Hadzovic,The Bosnian Bomber,69,155.0,70,Orthodox,14.0,7.0,0.0,welterweight
188,Tim,Hague,The Trashing Machine,76,260.0,76,Orthodox,21.0,13.0,0.0,heavyweight
189,Yazan,Hajeh,Yazzle Dazzle,69,145.0,71,Orthodox,6.0,1.0,0.0,lightweight
191,Kevin,Haley,The North Woods Nightmare,74,205.0,71,Unknown,6.0,4.0,0.0,heavyweight
192,Mark,Hall,,72,190.0,71,Orthodox,5.0,6.0,0.0,light heavyweight
193,Uriah,Hall,Prime Time,72,185.0,79,Orthodox,18.0,11.0,0.0,light heavyweight
194,Ryan,Hall,The Wizard,70,145.0,70,Southpaw,9.0,2.0,0.0,lightweight
195,Dennis,Hallman,Superman,69,155.0,72,Orthodox,53.0,20.0,2.0,welterweight
196,Piotr,Hallmann,Pletwal,69,155.0,71,Orthodox,18.0,6.0,0.0,welterweight
197,Tony,Halme,,75,300.0,71,Orthodox,0.0,4.0,0.0,super heavyweight
198,Brandon,Halsey,Bull,72,185.0,71,Unknown,9.0,3.0,0.0,light heavyweight
199,John,Halverson,The Hurricane,69,155.0,71,Southpaw,16.0,8.0,0.0,welterweight
200,Seo Hee,Ham,,62,115.0,62,Southpaw,17.0,8.0,0.0,flyweight
202,Kazuhiro,Hamanaka,,72,185.0,71,Southpaw,5.0,7.0,1.0,light heavyweight
203,Matt,Hamill,The Hammer,73,205.0,76,Orthodox,12.0,8.0,0.0,heavyweight
204,Jeremy,Hamilton,Hawk,70,185.0,71,Unknown,9.0,2.0,0.0,light heavyweight
205,Anthony,Hamilton,Freight Train,77,260.0,76,Orthodox,15.0,9.0,0.0,heavyweight
206,CJ,Hamilton,The Autobot,67,125.0,68,Switch,11.0,4.0,0.0,bantamweight
207,Jared,Hamman,The Messenger,75,185.0,75,Orthodox,14.0,6.0,0.0,light heavyweight
209,Al,Iaquinta,Raging,70,155.0,70,Orthodox,14.0,7.0,1.0,welterweight
210,Khadis,Ibragimov,,75,205.0,78,Orthodox,8.0,4.0,0.0,heavyweight
211,Minoki,Ichihara,,67,178.0,71,Orthodox,0.0,1.0,0.0,middleweight
212,Dan,Ige,50K,67,145.0,71,Orthodox,16.0,6.0,0.0,lightweight
213,Valeri,Ignatov,,69,170.0,71,Orthodox,1.0,2.0,0.0,middleweight
214,Sergey,Ignatov,,69,210.0,71,Orthodox,0.0,1.0,0.0,heavyweight
215,Fabiano,Iha,,68,155.0,71,Orthodox,9.0,5.0,0.0,welterweight
216,Seichi,Ikemoto,,71,168.0,71,Orthodox,21.0,19.0,5.0,welterweight
217,Mikhail,Iloukhine,,69,205.0,71,Orthodox,30.0,11.0,1.0,heavyweight
218,Zelim,Imadaev,,72,170.0,76,Orthodox,8.0,3.0,0.0,middleweight
219,Yusuke,Imamura,,68,220.0,71,Orthodox,2.0,6.0,0.0,heavyweight
220,Masakazu,Imanari,,64,139.0,71,Southpaw,36.0,16.0,2.0,featherweight
221,Nassourdine,Imavov,,75,185.0,75,Orthodox,12.0,4.0,0.0,light heavyweight
222,Brad,Imes,Hillbilly Heartthrob,79,265.0,71,Orthodox,13.0,7.0,0.0,super heavyweight
223,Chris,Indich,,70,170.0,71,Unknown,6.0,4.0,0.0,middleweight
225,Guto,Inocente,,75,205.0,71,Orthodox,7.0,4.0,0.0,heavyweight
226,Enson,Inoue,Yamato Damashii,70,210.0,71,Orthodox,12.0,8.0,0.0,heavyweight
227,Egan,Inoue,,69,190.0,71,Southpaw,13.0,8.0,0.0,light heavyweight
228,Katsuya,Inoue,,69,168.0,71,Southpaw,19.0,9.0,4.0,welterweight
229,Takeshi,Inoue,Lion,68,145.0,71,Unknown,23.0,10.0,0.0,lightweight
230,Naoki,Inoue,,69,125.0,71,Orthodox,11.0,1.0,0.0,bantamweight
231,Inoue,Mizuki,,63,125.0,65,Orthodox,14.0,6.0,0.0,bantamweight
232,Jorge,Interiano,,73,205.0,71,Unknown,4.0,3.0,0.0,heavyweight
233,Jason,Ireland,The Irish Tornado,69,161.0,71,Southpaw,19.0,9.0,1.0,welterweight
235,Yves,Jabouin,Tiger,67,135.0,68,Orthodox,20.0,11.0,0.0,featherweight
236,Kevin,Jackson,,70,199.0,71,Switch,4.0,2.0,0.0,light heavyweight
237,Eugene,Jackson,The Wolf,68,185.0,71,Orthodox,15.0,9.0,1.0,light heavyweight
238,Quinton,Jackson,Rampage,73,205.0,73,Orthodox,37.0,12.0,0.0,heavyweight
239,Jeremy,Jackson,Scorpion,70,170.0,71,Orthodox,9.0,5.0,0.0,middleweight
240,Damon,Jackson,Action,71,145.0,71,Switch,22.0,5.0,1.0,lightweight
241,Kenyon,Jackson,,72,185.0,71,Unknown,4.0,3.0,0.0,light heavyweight
242,Mike,Jackson,The Truth,74,170.0,74,Orthodox,1.0,2.0,0.0,middleweight
243,Jason,Jackson,Jah-Son,73,170.0,78,Orthodox,7.0,2.0,0.0,middleweight
244,Montel,Jackson,Quik,70,135.0,75,Southpaw,12.0,2.0,0.0,featherweight
245,Eric,Jacob,,70,155.0,71,Unknown,1.0,9.0,0.0,welterweight
246,Richard,Jacobi,,76,260.0,75,Orthodox,6.0,1.0,1.0,heavyweight
247,Dustin,Jacoby,The Hanyak,75,205.0,76,Orthodox,18.0,6.0,1.0,heavyweight
248,Justin,James,,70,155.0,71,Orthodox,13.0,7.0,0.0,welterweight
249,Nate,James,,72,185.0,71,Unknown,14.0,8.0,1.0,light heavyweight
250,Virna,Jandiroba,Carcara,63,115.0,64,Orthodox,18.0,3.0,0.0,flyweight
251,Ryan,Janes,,75,185.0,76,Orthodox,10.0,3.0,0.0,light heavyweight
252,Josh,Janousek,,71,185.0,71,Orthodox,8.0,1.0,0.0,light heavyweight
253,Dave,Jansen,,69,155.0,73,Orthodox,20.0,4.0,0.0,welterweight
254,Jaime,Jara,El Cucui,73,205.0,71,Southpaw,38.0,18.0,0.0,heavyweight
255,Gigo,Jara,The Little Animal,69,145.0,71,Unknown,6.0,9.0,0.0,lightweight
256,Keith,Jardine,The Dean of Mean,74,185.0,76,Orthodox,17.0,11.0,2.0,light heavyweight
257,Brock,Jardine,The Machine,71,170.0,71,Orthodox,12.0,6.0,0.0,middleweight
259,Rony,Jason,,67,145.0,73,Orthodox,14.0,7.0,0.0,lightweight
261,Patrick,Kaase,Kamikaze,69,185.0,71,Unknown,1.0,2.0,0.0,light heavyweight
262,Emily,Kagan,,63,115.0,71,Unknown,3.0,3.0,0.0,flyweight
263,Oron,Kahlon,,68,135.0,70,Orthodox,16.0,1.0,0.0,featherweight
264,Sirwan,Kakai,Zohan,65,135.0,71,Orthodox,12.0,5.0,0.0,featherweight
265,Saidyokub,Kakhramonov,,68,135.0,69,Orthodox,10.0,3.0,0.0,featherweight
266,Geza,Kalman,,73,200.0,71,Unknown,4.0,9.0,0.0,light heavyweight
267,Bryson,Kamaka,,71,170.0,71,Orthodox,12.0,20.0,1.0,middleweight
268,Kai,Kamaka,The Fighting Hawaiian,67,145.0,69,Orthodox,8.0,4.0,1.0,lightweight
269,Shuya,Kamikubo,Stealth,70,145.0,71,Unknown,12.0,1.0,1.0,lightweight
270,Martin,Kampmann,The Hitman,72,170.0,72,Orthodox,20.0,7.0,0.0,middleweight
272,Bharat,Kandare,Daring,67,135.0,72,Orthodox,5.0,3.0,0.0,featherweight
273,Hiromitsu,Kanehara,,70,200.0,71,Orthodox,19.0,27.0,5.0,light heavyweight
274,Masanori,Kanehara,,67,135.0,67,Orthodox,26.0,12.0,5.0,featherweight
275,Ken,Kaneko,,72,161.0,71,Orthodox,0.0,3.0,0.0,welterweight
276,Denis,Kang,,71,185.0,77,Orthodox,35.0,16.0,2.0,light heavyweight
277,Kyung Ho,Kang,Mr. Perfect,69,135.0,73,Orthodox,18.0,9.0,0.0,featherweight
278,Manel,Kape,StarBoy,65,125.0,68,Southpaw,18.0,6.0,0.0,bantamweight
279,David,Kaplan,Diamond,67,155.0,71,Orthodox,3.0,4.0,0.0,welterweight
280,Kai,Kara-France,Don't Blink,64,125.0,69,Orthodox,24.0,10.0,0.0,bantamweight
281,Georgi,Karakhanyan,Insane,68,145.0,71,Unknown,26.0,7.0,1.0,lightweight
282,Alex,Karalexis,The Assassin,68,155.0,66,Orthodox,10.0,6.0,0.0,welterweight
283,Impa,Kasanganay,Tshilobo,71,170.0,75,Orthodox,9.0,2.0,0.0,middleweight
284,Jinnosuke,Kashimura,,67,155.0,71,Southpaw,4.0,2.0,0.0,welterweight
285,Nadia,Kassem,,65,125.0,66,Southpaw,5.0,2.0,0.0,bantamweight
287,Achmed,Labasanov,,75,215.0,71,Orthodox,7.0,4.0,0.0,heavyweight
288,Josh,LaBerge,,70,145.0,71,Unknown,11.0,6.0,0.0,lightweight
289,Jeremiah,Labiano,The Kid,70,135.0,71,Unknown,11.0,5.0,0.0,featherweight
290,Daniel,Lacerda,Miojo,66,125.0,70,Switch,11.0,5.0,0.0,bantamweight
291,Luan,Lacerda,,67,135.0,71,Orthodox,12.0,2.0,0.0,featherweight
292,Kemran,Lachinov,,70,170.0,71,Unknown,3.0,2.0,0.0,middleweight
293,Aspen,Ladd,,66,135.0,66,Orthodox,9.0,3.0,0.0,featherweight
294,Ryan,LaFlare,,73,170.0,74,Southpaw,14.0,3.0,0.0,middleweight
295,Ben,Lagman,Bad News,74,185.0,71,Unknown,6.0,5.0,0.0,light heavyweight
296,Noad,Lahat,Neo,69,145.0,69,Orthodox,11.0,2.0,0.0,lightweight
297,Tina,Lahdemaki,Jelly Bean,62,115.0,71,Orthodox,5.0,1.0,0.0,flyweight
298,Yohan,Lainesse,White Lion,73,170.0,76,Orthodox,9.0,2.0,0.0,middleweight
299,Tim,Lajcik,The Bohemian,73,225.0,71,Orthodox,7.0,6.0,1.0,heavyweight
300,Todd,Lally,,67,145.0,71,Orthodox,2.0,1.0,0.0,lightweight
301,Sean,Lally,The Unpredictable One,72,170.0,71,Orthodox,7.0,3.0,0.0,middleweight
302,Ricardo,Lamas,The Bully,68,145.0,71,Orthodox,20.0,8.0,0.0,lightweight
303,Jason,Lambert,The Punisher,75,185.0,75,Orthodox,26.0,13.0,0.0,light heavyweight
304,Jose,Landi-Jons,Pele,71,170.0,71,Orthodox,29.0,16.0,0.0,middleweight
305,Nate,Landwehr,The Train,69,145.0,72,Orthodox,17.0,4.0,0.0,lightweight
306,Austen,Lane,,78,245.0,80,Orthodox,12.0,3.0,0.0,heavyweight
307,Aaron,Lanfranco,,70,155.0,71,Unknown,5.0,1.0,0.0,welterweight
308,Jeremy,Lang,,71,205.0,71,Southpaw,21.0,2.0,0.0,heavyweight
309,Lionel,Lanham,,70,205.0,71,Unknown,5.0,1.0,0.0,heavyweight
310,Lina,Lansberg,Elbow Queen,67,135.0,65,Orthodox,10.0,8.0,0.0,featherweight
311,Taylor,Lapilus,Double Impact,66,135.0,73,Southpaw,18.0,3.0,0.0,featherweight
313,Dong Hyun,Ma,Maestro,71,155.0,70,Orthodox,16.0,11.0,3.0,welterweight
314,Pawan,Maan,,67,155.0,70,Orthodox,7.0,3.0,1.0,welterweight
315,William,Macario,Patolino,71,170.0,75,Orthodox,9.0,3.0,0.0,middleweight
316,Jason,MacDonald,The Athlete,75,185.0,80,Orthodox,25.0,16.0,0.0,light heavyweight
317,Rob,MacDonald,Maximus,75,205.0,78,Orthodox,5.0,4.0,0.0,heavyweight
318,Rory,MacDonald,Red King,72,170.0,76,Orthodox,19.0,4.0,0.0,middleweight
319,Ryan,MacDonald,Main Event,71,135.0,71,Switch,10.0,2.0,0.0,featherweight
320,Clayton,MacFarlane,,70,170.0,71,Unknown,4.0,1.0,0.0,middleweight
321,Ilima,Macfarlane,,64,125.0,71,Unknown,6.0,0.0,0.0,bantamweight
322,Valesca,Machado,Tina Black,64,115.0,63,Orthodox,8.0,3.0,0.0,flyweight
323,Caio,Machado,Lionheart,70,145.0,71,Unknown,14.0,7.0,0.0,lightweight
324,Lyoto,Machida,The Dragon,73,185.0,74,Southpaw,24.0,8.0,0.0,light heavyweight
325,War,Machine,,71,170.0,71,Orthodox,14.0,5.0,0.0,middleweight
326,Anthony,Macias,Mad Dog,69,185.0,71,Switch,26.0,18.0,0.0,light heavyweight
327,Pauline,Macias,PITA,64,115.0,64,Southpaw,4.0,1.0,0.0,flyweight
328,Reza,Madadi,Mad Dog,71,155.0,73,Orthodox,14.0,6.0,0.0,welterweight
329,Don,Madge,Magic Man,72,155.0,72,Southpaw,9.0,3.0,1.0,welterweight
330,Ryan,Madigan,,72,170.0,71,Orthodox,5.0,3.0,0.0,middleweight
331,Jon,Madsen,,72,240.0,72,Orthodox,8.0,2.0,0.0,heavyweight
332,Mark,Madsen,The Olympian,68,155.0,72,Orthodox,12.0,1.0,0.0,welterweight
333,Yoshiro,Maeda,,67,139.0,68,Southpaw,35.0,16.0,5.0,featherweight
334,Leonardo,Mafra,Macarrao,70,155.0,70,Orthodox,13.0,4.0,0.0,welterweight
335,Vinny,Magalhaes,Pezao,75,205.0,75,Orthodox,14.0,9.0,0.0,heavyweight
336,Vinicius,Magalhaes,Draculinho,70,145.0,71,Unknown,2.0,1.0,0.0,lightweight
337,Caio,Magalhaes,Hellboy,73,185.0,73,Orthodox,10.0,3.0,0.0,light heavyweight
339,Katsuhiko,Nagata,,67,154.0,71,Southpaw,6.0,7.0,3.0,lightweight
340,Yuji,Nagata,,72,225.0,71,Orthodox,0.0,2.0,0.0,heavyweight
341,Greg,Nagy,,73,210.0,71,Orthodox,1.0,3.0,0.0,heavyweight
342,Logan,Nail,,70,185.0,71,Unknown,1.0,1.0,0.0,light heavyweight
343,Muhammad,Naimov,Hillman,69,145.0,70,Orthodox,5.0,1.0,0.0,lightweight
344,Yukiya,Naito,,73,205.0,71,Orthodox,15.0,6.0,2.0,heavyweight
345,Andrews,Nakahara,,73,185.0,71,Orthodox,5.0,4.0,2.0,light heavyweight
346,Rin,Nakai,,61,135.0,71,Orthodox,19.0,2.0,1.0,featherweight
