,fighter1,fighter2,fighter1_kd,fighter2_kd,fighter1_str,fighter2_str,fighter1_td,fighter2_td,fighter1_sub,fighter2_sub,weight_class,method,round,time,event,winner
0,Leon Edwards,Kamaru Usman,0,0,120,87,0,4,0,0,Welterweight,M-DEC,5,5:00,UFC 286: Edwards vs. Usman 3,Leon Edwards
1,Justin Gaethje,Rafael Fiziev,0,0,103,97,1,0,0,0,Lightweight,M-DEC,3,5:00,UFC 286: Edwards vs. Usman 3,Justin Gaethje
2,Gunnar Nelson,Bryan Barberena,0,0,10,7,1,0,1,0,Welterweight,SUB  Armbar,1,4:51,UFC 286: Edwards vs. Usman 3,Gunnar Nelson
3,Jennifer Maia,Casey O'Neill,0,0,145,137,0,0,0,0,Women's Flyweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3,Jennifer Maia
4,Marvin Vettori,Roman Dolidze,0,0,106,71,0,0,0,0,Middleweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3,Marvin Vettori
5,Jack Shore,Makwan Amirkhani,0,0,28,10,1,1,1,0,Featherweight,SUB  Rear Naked Choke,2,4:27,UFC 286: Edwards vs. Usman 3,Jack Shore
6,Chris Duncan,Omar Morales,0,0,53,47,5,0,0,0,Lightweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3,Chris Duncan
7,Yanal Ashmouz,Sam Patterson,0,0,15,2,1,0,0,0,Lightweight,KO/TKO  Punches,1,1:15,UFC 286: Edwards vs. Usman 3,Yanal Ashmouz
8,Muhammad Mokaev,Jafel Filho,0,0,16,9,4,0,2,2,Flyweight,SUB  Neck Crank,3,4:32,UFC 286: Edwards vs. Usman 3,Muhammad Mokaev
9,Lerone Murphy,Gabriel Santos,0,0,93,69,1,5,0,0,Featherweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3,Lerone Murphy
10,Christian Duncan,Dusko Todorovic,0,0,9,4,0,0,0,0,Middleweight,KO/TKO,1,1:52,UFC 286: Edwards vs. Usman 3,Christian Duncan
11,Jake Hadley,Malcolm Gordon,1,0,10,3,0,0,0,0,Flyweight,KO/TKO  Punch,1,1:01,UFC 286: Edwards vs. Usman 3,Jake Hadley
12,Joanne Wood,Luana Carolina,0,0,131,100,2,0,0,0,Women's Flyweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3,Joanne Wood
13,Jai Herbert,Ludovit Klein,0,0,43,47,1,2,0,0,Lightweight,M-DEC,3,5:00,UFC 286: Edwards vs. Usman 3,draw
14,Veronica Hardy,Juliana Miller,0,0,62,30,4,0,0,3,Women's Flyweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3,Veronica Hardy
15,Merab Dvalishvili,Petr Yan,0,0,147,75,11,1,0,0,Bantamweight,U-DEC,5,5:00,UFC Fight Night: Yan vs. Dvalishvili,Merab Dvalishvili
16,Alexander Volkov,Alexandr Romanov,0,0,12,0,0,0,0,0,Heavyweight,KO/TKO  Punches,1,2:16,UFC Fight Night: Yan vs. Dvalishvili,Alexander Volkov
17,Nikita Krylov,Ryan Spann,0,0,7,5,2,1,2,1,Catch Weight,SUB  Triangle Choke,1,3:38,UFC Fight Night: Yan vs. Dvalishvili,Nikita Krylov
18,Jonathan Martinez,Said Nurmagomedov,0,0,38,47,0,3,1,2,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili,Jonathan Martinez
19,Mario Bautista,Guido Cannetti,0,0,3,2,3,1,1,0,Bantamweight,SUB  Rear Naked Choke,1,3:18,UFC Fight Night: Yan vs. Dvalishvili,Mario Bautista
20,Vitor Petrino,Anton Turkalj,0,0,39,33,7,5,1,0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili,Vitor Petrino
21,Karl Williams,Lukasz Brzeski,1,0,38,26,8,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili,Karl Williams
22,Davey Grant,Raphael Assuncao,1,0,65,42,0,5,1,0,Bantamweight,SUB  Inverted Triangle,3,4:43,UFC Fight Night: Yan vs. Dvalishvili,Davey Grant
23,Josh Fremd,Sedriques Dumas,0,0,33,20,2,0,2,0,Middleweight,SUB  Guillotine Choke,2,3:00,UFC Fight Night: Yan vs. Dvalishvili,Josh Fremd
24,Victor Henry,Tony Gravely,0,0,154,75,0,3,2,0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili,Victor Henry
25,Ariane Lipski,JJ Aldrich,0,0,101,49,2,0,0,0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili,Ariane Lipski
26,Bruno Silva,Tyson Nam,1,0,23,12,0,0,1,0,Flyweight,SUB  Rear Naked Choke,2,1:23,UFC Fight Night: Yan vs. Dvalishvili,Bruno Silva
27,Carlston Harris,Jared Gooden,0,0,63,51,5,0,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Yan vs. Dvalishvili,Carlston Harris
28,Jon Jones,Ciryl Gane,0,0,5,6,2,0,1,0,Heavyweight,SUB  Guillotine Choke,1,2:04,UFC 285: Jones vs. Gane,Jon Jones
29,Alexa Grasso,Valentina Shevchenko,0,0,59,87,0,4,1,0,Women's Flyweight,SUB  Rear Naked Choke,4,4:34,UFC 285: Jones vs. Gane,Alexa Grasso
30,Shavkat Rakhmonov,Geoff Neal,0,0,113,69,0,0,1,0,Welterweight,SUB  Rear Naked Choke,3,4:17,UFC 285: Jones vs. Gane,Shavkat Rakhmonov
31,Mateusz Gamrot,Jalin Turner,0,1,29,40,4,0,0,0,Lightweight,S-DEC,3,5:00,UFC 285: Jones vs. Gane,Mateusz Gamrot
32,Bo Nickal,Jamie Pickett,0,0,1,1,1,0,2,0,Middleweight,SUB  Arm Triangle,1,2:54,UFC 285: Jones vs. Gane,Bo Nickal
33,Cody Garbrandt,Trevin Jones,0,0,26,20,2,1,0,1,Bantamweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane,Cody Garbrandt
34,Dricus Du Plessis,Derek Brunson,1,0,71,37,1,1,1,1,Middleweight,KO/TKO  Punches,2,4:59,UFC 285: Jones vs. Gane,Dricus Du Plessis
35,Amanda Ribas,Viviane Araujo,0,0,98,46,2,0,0,2,Women's Flyweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane,Amanda Ribas
36,Marc-Andre Barriault,Julian Marquez,0,0,109,82,0,0,0,0,Middleweight,KO/TKO  Punches,2,4:12,UFC 285: Jones vs. Gane,Marc-Andre Barriault
37,Ian Garry,Song Kenan,1,1,127,55,0,2,0,0,Welterweight,KO/TKO  Punches,3,4:22,UFC 285: Jones vs. Gane,Ian Garry
38,Cameron Saaiman,Mana Martinez,1,0,117,60,1,0,0,0,Bantamweight,M-DEC,3,5:00,UFC 285: Jones vs. Gane,Cameron Saaiman
39,Tabatha Ricci,Jessica Penne,0,0,36,6,4,0,1,0,Women's Strawweight,SUB  Armbar,2,2:14,UFC 285: Jones vs. Gane,Tabatha Ricci
40,Farid Basharat,Da'Mon Blackshear,0,0,58,46,3,1,0,1,Bantamweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane,Farid Basharat
41,Loik Radzhabov,Esteban Ribovics,0,1,40,66,11,0,0,1,Lightweight,U-DEC,3,5:00,UFC 285: Jones vs. Gane,Loik Radzhabov
42,Brendan Allen,Andre Muniz,0,0,42,43,1,0,2,0,Middleweight,SUB  Rear Naked Choke,3,4:25,UFC Fight Night: Muniz vs. Allen,Brendan Allen
43,Augusto Sakai,Don'Tale Mayes,0,0,53,29,1,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen,Augusto Sakai
44,Tatiana Suarez,Montana De La Rosa,0,0,10,5,2,0,1,0,Women's Flyweight,SUB  Guillotine Choke,2,2:51,UFC Fight Night: Muniz vs. Allen,Tatiana Suarez
45,Mike Malott,Yohan Lainesse,0,0,9,1,1,0,1,0,Welterweight,SUB  Arm Triangle,1,4:15,UFC Fight Night: Muniz vs. Allen,Mike Malott
46,Trevor Peek,Erick Gonzalez,2,0,51,7,0,4,0,0,Lightweight,KO/TKO  Punch,1,4:59,UFC Fight Night: Muniz vs. Allen,Trevor Peek
47,Jasmine Jasudavicius,Gabriella Fernandes,0,0,24,26,4,0,0,0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen,Jasmine Jasudavicius
48,Jordan Leavitt,Victor Martinez,1,0,17,7,0,0,0,0,Lightweight,KO/TKO  Knees,1,2:27,UFC Fight Night: Muniz vs. Allen,Jordan Leavitt
49,Ode Osbourne,Charles Johnson,0,0,48,60,3,1,0,0,Catch Weight,S-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen,Ode Osbourne
50,Joe Solecki,Carl Deaton,0,0,2,1,2,0,3,0,Lightweight,SUB  Rear Naked Choke,2,4:55,UFC Fight Night: Muniz vs. Allen,Joe Solecki
51,Nurullo Aliev,Rafael Alves,0,0,19,6,3,0,0,2,Lightweight,M-DEC,3,5:00,UFC Fight Night: Muniz vs. Allen,Nurullo Aliev
52,Erin Blanchfield,Jessica Andrade,0,0,51,53,1,0,1,0,Women's Flyweight,SUB  Rear Naked Choke,2,1:37,UFC Fight Night: Andrade vs. Blanchfield,Erin Blanchfield
53,Zac Pauga,Jordan Wright,0,0,59,29,0,0,0,0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,Zac Pauga
54,Jamal Pogues,Josh Parisian,0,0,33,37,5,1,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,Jamal Pogues
55,Marcin Prachnio,William Knight,0,0,79,8,0,0,0,0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,Marcin Prachnio
56,Alexander Hernandez,Jim Miller,0,0,108,67,0,0,0,1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,Alexander Hernandez
57,Nazim Sadykhov,Evan Elder,0,1,64,70,1,1,0,0,Lightweight,KO/TKO,3,0:38,UFC Fight Night: Andrade vs. Blanchfield,Nazim Sadykhov
58,Mayra Bueno Silva,Lina Lansberg,0,0,39,25,2,0,1,0,Women's Bantamweight,SUB  Kneebar,2,4:45,UFC Fight Night: Andrade vs. Blanchfield,Mayra Bueno Silva
59,Jamall Emmers,Khusein Askhabov,0,0,62,30,1,0,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Andrade vs. Blanchfield,Jamall Emmers
60,Philipe Lins,Ovince Saint Preux,1,0,18,1,0,0,0,0,Light Heavyweight,KO/TKO  Punch,1,0:49,UFC Fight Night: Andrade vs. Blanchfield,Philipe Lins
61,AJ Fletcher,Themba Gorimbo,0,0,7,6,0,2,1,0,Welterweight,SUB  Guillotine Choke,2,1:37,UFC Fight Night: Andrade vs. Blanchfield,AJ Fletcher
62,Clayton Carpenter,Juancamilo Ronderos,0,0,3,1,0,1,3,0,Flyweight,SUB  Rear Naked Choke,1,3:13,UFC Fight Night: Andrade vs. Blanchfield,Clayton Carpenter
63,Islam Makhachev,Alexander Volkanovski,0,1,57,70,4,0,0,0,Lightweight,U-DEC,5,5:00,UFC 284: Makhachev vs. Volkanovski,Islam Makhachev
64,Yair Rodriguez,Josh Emmett,0,0,62,22,0,1,1,0,Featherweight,SUB  Triangle Choke,2,4:19,UFC 284: Makhachev vs. Volkanovski,Yair Rodriguez
65,Jack Della Maddalena,Randy Brown,1,0,14,11,0,0,1,0,Welterweight,SUB  Rear Naked Choke,1,2:13,UFC 284: Makhachev vs. Volkanovski,Jack Della Maddalena
66,Justin Tafa,Parker Porter,1,0,8,7,0,0,0,0,Heavyweight,KO/TKO  Punch,1,1:06,UFC 284: Makhachev vs. Volkanovski,Justin Tafa
67,Jimmy Crute,Alonzo Menifield,0,2,31,56,6,0,3,0,Light Heavyweight,M-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,draw
68,Modestas Bukauskas,Tyson Pedro,0,0,44,45,0,2,0,0,Light Heavyweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,Modestas Bukauskas
69,Josh Culibao,Melsik Baghdasaryan,0,0,16,26,0,0,1,0,Featherweight,SUB  Rear Naked Choke,2,2:02,UFC 284: Makhachev vs. Volkanovski,Josh Culibao
70,Kleydson Rodrigues,Shannon Ross,1,0,14,1,0,0,0,0,Flyweight,KO/TKO  Punches,1,0:59,UFC 284: Makhachev vs. Volkanovski,Kleydson Rodrigues
71,Jamie Mullarkey,Francisco Prado,0,0,59,28,3,0,0,1,Lightweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,Jamie Mullarkey
72,Jack Jenkins,Don Shainis,0,0,82,50,4,1,0,2,Featherweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,Jack Jenkins
73,Loma Lookboonmee,Elise Reed,0,0,17,17,2,0,1,0,Women's Strawweight,SUB  Rear Naked Choke,2,0:44,UFC 284: Makhachev vs. Volkanovski,Loma Lookboonmee
74,Blake Bilder,Shane Young,0,0,111,80,1,0,0,0,Featherweight,U-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,Blake Bilder
75,Elves Brener,Zubaira Tukhugov,0,0,69,70,0,0,0,0,Lightweight,S-DEC,3,5:00,UFC 284: Makhachev vs. Volkanovski,Elves Brener
76,Serghei Spivac,Derrick Lewis,0,0,12,0,6,0,1,0,Heavyweight,SUB  Arm Triangle,1,3:05,UFC Fight Night: Lewis vs. Spivac,Serghei Spivac
77,Devin Clark,Da Woon Jung,0,0,39,18,3,1,0,0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac,Devin Clark
78,Marcin Tybura,Blagoy Ivanov,0,0,40,34,1,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac,Marcin Tybura
79,Dooho Choi,Kyle Nelson,0,0,50,20,0,5,0,0,Featherweight,M-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac,draw
80,Adam Fugitt,Yusaku Kinoshita,0,0,21,10,4,0,0,0,Welterweight,KO/TKO  Elbows,1,4:36,UFC Fight Night: Lewis vs. Spivac,Adam Fugitt
81,Anshul Jubli,Jeka Saragih,0,0,38,14,2,0,1,0,Lightweight,KO/TKO  Elbows,2,3:44,UFC Fight Night: Lewis vs. Spivac,Anshul Jubli
82,JeongYeong Lee,Yi Zha,0,0,25,24,0,5,0,0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Lewis vs. Spivac,JeongYeong Lee
83,Rinya Nakamura,Toshiomi Kazama,2,0,11,4,0,0,0,0,Bantamweight,KO/TKO  Punch,1,0:33,UFC Fight Night: Lewis vs. Spivac,Rinya Nakamura
84,HyunSung Park,SeungGuk Choi,0,1,38,20,1,0,3,0,Flyweight,SUB  Rear Naked Choke,3,3:11,UFC Fight Night: Lewis vs. Spivac,HyunSung Park
85,JunYong Park,Denis Tiuliulin,0,0,25,8,1,0,1,0,Middleweight,SUB  Rear Naked Choke,1,4:05,UFC Fight Night: Lewis vs. Spivac,JunYong Park
86,Tatsuro Taira,Jesus Aguilar,0,0,1,2,1,0,2,1,Flyweight,SUB  Triangle Armbar,1,4:20,UFC Fight Night: Lewis vs. Spivac,Tatsuro Taira
87,Jamahal Hill,Glover Teixeira,0,0,232,75,0,2,0,0,Light Heavyweight,U-DEC,5,5:00,UFC 283: Teixeira vs. Hill,Jamahal Hill
88,Brandon Moreno,Deiveson Figueiredo,0,0,48,19,3,1,0,2,Flyweight,KO/TKO,3,5:00,UFC 283: Teixeira vs. Hill,Brandon Moreno
89,Gilbert Burns,Neil Magny,0,0,5,4,1,0,1,0,Welterweight,SUB  Arm Triangle,1,4:15,UFC 283: Teixeira vs. Hill,Gilbert Burns
90,Jessica Andrade,Lauren Murphy,0,0,231,100,1,0,0,0,Women's Flyweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill,Jessica Andrade
91,Johnny Walker,Paul Craig,1,0,16,3,0,0,0,0,Light Heavyweight,KO/TKO  Punches,1,2:16,UFC 283: Teixeira vs. Hill,Johnny Walker
92,Ihor Potieria,Mauricio Rua,1,0,21,17,0,0,0,0,Light Heavyweight,KO/TKO  Punches,1,4:05,UFC 283: Teixeira vs. Hill,Ihor Potieria
93,Brunno Ferreira,Gregory Rodrigues,1,0,22,21,0,0,0,0,Middleweight,KO/TKO  Punch,1,4:13,UFC 283: Teixeira vs. Hill,Brunno Ferreira
94,Thiago Moises,Melquizael Costa,0,0,22,23,4,0,1,0,Lightweight,SUB  Rear Naked Choke,2,4:05,UFC 283: Teixeira vs. Hill,Thiago Moises
95,Gabriel Bonfim,Mounir Lazzez,0,0,9,9,0,0,1,0,Welterweight,SUB  Guillotine Choke,1,0:49,UFC 283: Teixeira vs. Hill,Gabriel Bonfim
96,Jailton Almeida,Shamil Abdurakhimov,0,0,45,1,3,0,0,0,Heavyweight,KO/TKO  Punches,2,2:56,UFC 283: Teixeira vs. Hill,Jailton Almeida
97,Cody Stamann,Luan Lacerda,0,0,103,80,0,1,0,0,Bantamweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill,Cody Stamann
98,Ismael Bonfim,Terrance McKinney,1,0,34,14,1,0,0,0,Lightweight,KO/TKO  Flying Knee,2,2:17,UFC 283: Teixeira vs. Hill,Ismael Bonfim
99,Nicolas Dalby,Warlley Alves,0,0,119,66,0,1,0,0,Welterweight,S-DEC,3,5:00,UFC 283: Teixeira vs. Hill,Nicolas Dalby
100,Josiane Nunes,Zarah Fairn,0,0,102,117,0,0,0,0,Women's Featherweight,U-DEC,3,5:00,UFC 283: Teixeira vs. Hill,Josiane Nunes
101,Daniel Marcos,Saimon Oliveira,1,0,53,23,0,0,0,0,Bantamweight,KO/TKO  Knees,2,2:18,UFC 283: Teixeira vs. Hill,Daniel Marcos
102,Sean Strickland,Nassourdine Imavov,0,0,182,123,1,0,0,0,Light Heavyweight,U-DEC,5,5:00,UFC Fight Night: Strickland vs. Imavov,Sean Strickland
103,Dan Ige,Damon Jackson,1,0,34,36,1,0,0,0,Featherweight,KO/TKO  Punch,2,4:13,UFC Fight Night: Strickland vs. Imavov,Dan Ige
104,Roman Kopylov,Punahele Soriano,0,0,82,39,1,0,0,0,Middleweight,KO/TKO  Kick,2,3:19,UFC Fight Night: Strickland vs. Imavov,Roman Kopylov
105,Raquel Pennington,Ketlen Vieira,0,0,81,64,0,0,0,0,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov,Raquel Pennington
106,Umar Nurmagomedov,Raoni Barcelos,1,0,36,13,0,0,0,0,Bantamweight,KO/TKO  Punch,1,4:40,UFC Fight Night: Strickland vs. Imavov,Umar Nurmagomedov
107,Javid Basharat,Mateus Mendonca,0,0,95,29,3,2,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov,Javid Basharat
108,Abdul Razak Alhassan,Claudio Ribeiro,1,0,17,19,0,0,0,0,Middleweight,KO/TKO  Punches,2,0:28,UFC Fight Night: Strickland vs. Imavov,Abdul Razak Alhassan
109,Mateusz Rebecki,Nick Fiore,0,0,89,34,3,1,0,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov,Mateusz Rebecki
110,Allan Nascimento,Carlos Hernandez,0,0,6,3,2,0,1,0,Flyweight,SUB  Rear Naked Choke,1,3:16,UFC Fight Night: Strickland vs. Imavov,Allan Nascimento
111,Dan Argueta,Nick Aguirre,0,0,47,14,4,0,2,1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Imavov,Dan Argueta
112,Charles Johnson,Jimmy Flick,0,0,34,7,0,1,0,0,Flyweight,KO/TKO  Punches,1,4:33,UFC Fight Night: Strickland vs. Imavov,Charles Johnson
113,Jared Cannonier,Sean Strickland,0,0,141,152,0,1,0,0,Middleweight,S-DEC,5,5:00,UFC Fight Night: Cannonier vs. Strickland,Jared Cannonier
114,Arman Tsarukyan,Damir Ismagulov,0,0,34,36,7,0,0,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,Arman Tsarukyan
115,Amir Albazi,Alessandro Costa,2,0,37,17,1,0,0,0,Flyweight,KO/TKO  Punch,3,2:13,UFC Fight Night: Cannonier vs. Strickland,Amir Albazi
116,Alex Caceres,Julian Erosa,1,0,16,10,0,0,0,0,Featherweight,KO/TKO  Kick,1,3:04,UFC Fight Night: Cannonier vs. Strickland,Alex Caceres
117,Drew Dober,Bobby Green,1,0,34,73,0,0,0,0,Lightweight,KO/TKO  Punch,2,2:45,UFC Fight Night: Cannonier vs. Strickland,Drew Dober
118,Michal Oleksiejczuk,Cody Brundage,0,0,15,0,0,3,0,0,Middleweight,KO/TKO  Punch,1,3:16,UFC Fight Night: Cannonier vs. Strickland,Michal Oleksiejczuk
119,Cory McKenna,Cheyanne Vlismas,0,0,22,33,2,0,0,1,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,Cory McKenna
120,Matthew Semelsberger,Jake Matthews,3,0,45,32,3,1,0,1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,Matthew Semelsberger
121,Said Nurmagomedov,Saidyokub Kakhramonov,0,0,7,11,0,5,3,1,Bantamweight,SUB  Guillotine Choke,2,3:50,UFC Fight Night: Cannonier vs. Strickland,Said Nurmagomedov
122,Rafa Garcia,Maheshate,0,0,49,25,6,0,0,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,Rafa Garcia
123,Rinat Fakhretdinov,Bryan Battle,1,0,43,3,7,0,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,Rinat Fakhretdinov
124,Manel Kape,David Dvorak,1,0,58,33,0,2,2,0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,Manel Kape
125,Sergey Morozov,Journey Newson,0,0,30,26,6,0,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Strickland,Sergey Morozov
126,Jan Blachowicz,Magomed Ankalaev,0,0,55,78,0,2,0,0,Light Heavyweight,S-DEC,5,5:00,UFC 282: Blachowicz vs. Ankalaev,draw
127,Paddy Pimblett,Jared Gordon,0,0,63,60,0,3,0,0,Lightweight,U-DEC,3,5:00,UFC 282: Blachowicz vs. Ankalaev,Paddy Pimblett
128,Santiago Ponzinibbio,Alex Morono,1,1,66,38,0,0,0,0,Catch Weight,KO/TKO  Punches,3,2:29,UFC 282: Blachowicz vs. Ankalaev,Santiago Ponzinibbio
129,Dricus Du Plessis,Darren Till,0,0,86,35,6,1,3,0,Middleweight,SUB  Neck Crank,3,2:43,UFC 282: Blachowicz vs. Ankalaev,Dricus Du Plessis
130,Ilia Topuria,Bryce Mitchell,1,0,40,36,0,1,1,0,Featherweight,SUB  Arm Triangle,2,3:10,UFC 282: Blachowicz vs. Ankalaev,Ilia Topuria
131,Raul Rosas Jr.,Jay Perrin,0,0,3,4,2,0,2,0,Bantamweight,SUB  Neck Crank,1,2:44,UFC 282: Blachowicz vs. Ankalaev,Raul Rosas Jr.
132,Jairzinho Rozenstruik,Chris Daukaus,1,0,12,1,0,0,0,0,Heavyweight,KO/TKO  Punch,1,0:23,UFC 282: Blachowicz vs. Ankalaev,Jairzinho Rozenstruik
133,Edmen Shahbazyan,Dalcha Lungiambula,0,0,54,23,0,0,0,0,Middleweight,KO/TKO  Punches,2,4:41,UFC 282: Blachowicz vs. Ankalaev,Edmen Shahbazyan
134,Chris Curtis,Joaquin Buckley,1,0,36,50,0,0,0,0,Middleweight,KO/TKO  Punch,2,2:49,UFC 282: Blachowicz vs. Ankalaev,Chris Curtis
135,Billy Quarantillo,Alexander Hernandez,0,0,87,48,2,2,0,1,Featherweight,KO/TKO  Punches,2,4:30,UFC 282: Blachowicz vs. Ankalaev,Billy Quarantillo
136,TJ Brown,Erik Silva,0,0,24,21,2,3,1,0,Featherweight,SUB  Arm Triangle,3,3:41,UFC 282: Blachowicz vs. Ankalaev,TJ Brown
137,Cameron Saaiman,Steven Koslow,0,0,53,11,0,5,0,1,Bantamweight,KO/TKO  Punches,3,4:13,UFC 282: Blachowicz vs. Ankalaev,Cameron Saaiman
138,Stephen Thompson,Kevin Holland,0,0,163,119,0,2,0,0,Welterweight,KO/TKO,4,5:00,UFC Fight Night: Thompson vs. Holland,Stephen Thompson
139,Rafael Dos Anjos,Bryan Barberena,0,0,20,14,4,0,2,0,Welterweight,SUB  Rear Naked Choke,2,3:20,UFC Fight Night: Thompson vs. Holland,Rafael Dos Anjos
140,Matheus Nicolau,Matt Schnell,2,0,32,20,1,0,0,0,Flyweight,KO/TKO  Punch,2,1:44,UFC Fight Night: Thompson vs. Holland,Matheus Nicolau
141,Sergei Pavlovich,Tai Tuivasa,2,0,23,2,0,0,0,0,Heavyweight,KO/TKO  Punches,1,0:54,UFC Fight Night: Thompson vs. Holland,Sergei Pavlovich
142,Roman Dolidze,Jack Hermansson,0,0,25,47,0,2,3,0,Middleweight,KO/TKO  Punches,2,4:06,UFC Fight Night: Thompson vs. Holland,Roman Dolidze
143,Eryk Anders,Kyle Daukaus,1,0,49,37,1,0,0,0,Middleweight,KO/TKO  Punches,2,2:45,UFC Fight Night: Thompson vs. Holland,Eryk Anders
144,Phil Rowe,Niko Price,0,0,63,110,1,0,2,0,Welterweight,KO/TKO  Punches,3,3:26,UFC Fight Night: Thompson vs. Holland,Phil Rowe
145,Angela Hill,Emily Ducote,0,0,182,71,0,0,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland,Angela Hill
146,Clay Guida,Scott Holtzman,0,0,66,65,4,0,0,0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland,Clay Guida
147,Michael Johnson,Marc Diakiese,0,0,83,55,0,0,0,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland,Michael Johnson
148,Jonathan Pearce,Darren Elkins,0,0,110,57,2,2,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland,Jonathan Pearce
149,Natan Levy,Genaro Valdez,0,0,67,49,6,0,0,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Holland,Natan Levy
150,Francis Marshall,Marcelo Rojo,1,0,23,31,1,0,0,0,Featherweight,KO/TKO  Punch,2,1:14,UFC Fight Night: Thompson vs. Holland,Francis Marshall
151,Yazmin Jauregui,Istela Nunes,2,1,67,36,0,0,0,0,Women's Strawweight,KO/TKO  Punches,2,4:06,UFC Fight Night: Thompson vs. Holland,Yazmin Jauregui
152,Kennedy Nzechukwu,Ion Cutelaba,1,0,24,9,0,2,0,0,Light Heavyweight,KO/TKO  Knee,2,1:02,UFC Fight Night: Nzechukwu vs. Cutelaba,Kennedy Nzechukwu
153,Waldo Cortes-Acosta,Chase Sherman,0,0,147,66,0,1,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba,Waldo Cortes-Acosta
154,Muslim Salikhov,Andre Fialho,0,0,56,17,1,0,0,0,Welterweight,KO/TKO  Kick,3,1:03,UFC Fight Night: Nzechukwu vs. Cutelaba,Muslim Salikhov
155,Jack Della Maddalena,Danny Roberts,2,0,33,5,0,0,0,0,Welterweight,KO/TKO  Punches,1,3:24,UFC Fight Night: Nzechukwu vs. Cutelaba,Jack Della Maddalena
156,Charles Johnson,Zhalgas Zhumagulov,0,0,115,119,0,1,0,0,Flyweight,S-DEC,3,5:00,UFC Fight Night: Nzechukwu vs. Cutelaba,Charles Johnson
